CustomerID,Recency,Frequency,Monetary,R,F,M,RFM_Score,Segment
14,267,1,256.2327913,2,1,4,214,Big Spenders
49,329,1,21.39904723,1,1,1,111,At Risk
59,28,2,249.492696,5,5,4,554,Champions
87,252,1,41.51590547,2,1,1,211,At Risk
96,23,1,194.356816,5,1,3,513,Recent Customers
98,131,1,166.9346467,4,1,3,413,Recent Customers
101,273,1,364.9742948,2,1,5,215,Big Spenders
135,19,1,25.83433213,5,1,1,511,Recent Customers
165,342,1,181.9839348,1,1,3,113,Others
169,89,1,457.1195323,4,1,5,415,Recent Customers
190,49,1,119.7414498,5,1,2,512,Recent Customers
202,9,1,145.6055967,5,1,3,513,Recent Customers
211,246,1,293.0965945,2,1,4,214,Big Spenders
213,308,1,340.4794469,1,1,5,115,Big Spenders
223,297,1,155.7043112,1,1,3,113,Others
227,280,1,348.2460943,2,1,5,215,Big Spenders
230,294,1,242.1020243,1,1,4,114,Big Spenders
232,239,1,102.9488437,2,1,2,212,At Risk
238,335,1,40.39517637,1,1,1,111,At Risk
243,255,1,280.9307299,2,1,4,214,Big Spenders
248,85,1,65.84340225,4,1,1,411,Recent Customers
280,133,1,88.62820957,4,1,2,412,Recent Customers
284,245,1,241.7435562,2,1,4,214,Big Spenders
289,37,1,229.8808494,5,1,4,514,Recent Customers
290,351,1,301.86574,1,1,4,114,Big Spenders
299,114,2,606.6971235999999,4,5,5,455,Champions
306,354,1,267.665442,1,1,4,114,Big Spenders
315,255,1,137.1832086,2,1,2,212,At Risk
319,145,1,347.5441797,3,1,5,315,Big Spenders
345,148,1,392.8392331,3,1,5,315,Big Spenders
352,97,1,176.7430055,4,1,3,413,Recent Customers
360,234,1,307.6017959,2,1,4,214,Big Spenders
382,169,1,69.62103281,3,1,1,311,Others
393,46,1,99.08964269,5,1,2,512,Recent Customers
399,78,1,109.7249415,4,1,2,412,Recent Customers
402,135,1,48.18508029,4,1,1,411,Recent Customers
415,200,1,66.12504916,3,1,1,311,Others
417,219,1,65.51688989,2,1,1,211,At Risk
